Result,FSP,FSW,SSP,SSW,ACE,DBF,WNR,UFE,NPA,NPW,ST1,Opp.FSW,Opp.SSP,Opp.SSW,Opp.ACE,Opp.DBF,Opp.WNR,Opp.UFE,Opp.NPA,Opp.NPW,Gender,Surface,Big Points,CLUTCH%
0,61,35,39,18,5,1,17,29,11,8,3,45,32,17,10,0,40,30,9,8,Men,Hard,11,0.454545468
1,68,45,32,17,10,0,40,30,9,8,6,35,39,18,5,1,17,29,11,8,Men,Hard,11,0.545454562
1,61,31,39,13,13,1,13,1,0,0,6,23,40,9,1,4,1,4,0,0,Men,Hard,14,0.5
0,60,23,40,9,1,4,1,4,0,0,1,31,39,13,13,1,13,1,0,0,Men,Hard,14,0.5
0,52,53,48,20,8,4,37,50,23,16,4,57,23,15,9,1,41,41,16,12,Men,Hard,22,0.454545468
1,77,57,23,15,9,1,41,41,16,12,6,53,48,20,8,4,37,50,23,16,Men,Hard,22,0.545454562
1,53,39,47,24,8,6,8,6,0,0,6,24,50,19,1,8,1,8,0,0,Men,Hard,16,0.75
0,50,24,50,19,1,8,1,8,0,0,2,39,47,24,8,6,8,6,0,0,Men,Hard,16,0.25
0,76,63,24,12,0,4,16,35,13,9,6,59,47,32,17,11,59,79,28,16,Men,Hard,17,0.294117659
1,53,59,47,32,17,11,59,79,28,16,1,63,24,12,0,4,16,35,13,9,Men,Hard,17,0.70588237
0,65,51,35,22,9,3,35,41,12,6,3,60,37,22,24,4,47,45,17,14,Men,Hard,14,0.357142866
1,63,60,37,22,24,4,47,45,17,14,6,51,35,22,9,3,35,41,12,6,Men,Hard,14,0.642857134
0,68,73,32,24,5,3,41,50,30,14,6,66,40,34,2,6,57,72,36,25,Men,Hard,34,0.470588237
1,60,66,40,34,2,6,57,72,36,25,3,73,32,24,5,3,41,50,30,14,Men,Hard,34,0.529411793
1,47,18,53,15,3,4,21,31,9,6,6,26,46,13,0,11,11,46,12,8,Men,Hard,26,0.384615391
0,54,26,46,13,0,11,11,46,12,8,3,18,53,15,3,4,21,31,9,6,Men,Hard,26,0.615384638
0,64,26,36,12,3,0,20,39,14,5,5,42,33,14,12,0,32,20,11,8,Men,Hard,17,0.352941185
1,67,42,33,14,12,0,32,20,11,8,7,26,36,12,3,0,20,39,14,5,Men,Hard,17,0.647058845
1,77,76,23,11,6,4,6,4,0,0,3,68,40,25,8,12,8,12,0,0,Men,Hard,38,0.394736856
0,60,68,40,25,8,12,8,12,0,0,6,76,23,11,6,4,6,4,0,0,Men,Hard,38,0.605263174
0,53,46,47,35,7,7,47,58,33,19,3,62,34,24,16,4,49,46,43,30,Men,Hard,24,0.666666687
1,66,62,34,24,16,4,49,46,43,30,6,46,47,35,7,7,47,58,33,19,Men,Hard,24,0.333333343
1,57,62,43,43,13,0,50,38,19,15,6,72,49,41,11,12,82,96,44,28,Men,Hard,25,0.400000006
0,51,72,49,41,11,12,82,96,44,28,1,62,43,43,13,0,50,38,19,15,Men,Hard,25,0.600000024
0,65,40,35,17,16,4,35,25,43,20,4,45,33,13,6,4,31,17,10,6,Men,Hard,12,0.5
1,67,45,33,13,6,4,31,17,10,6,6,40,35,17,16,4,35,25,43,20,Men,Hard,12,0.5
0,64,63,36,23,7,4,49,57,46,24,3,58,33,23,7,7,45,55,37,28,Men,Hard,27,0.444444448
1,67,58,33,23,7,7,45,55,37,28,6,63,36,23,7,4,49,57,46,24,Men,Hard,27,0.555555582
1,60,50,40,23,4,2,4,2,0,0,6,55,45,23,2,3,2,3,0,0,Men,Hard,42,0.476190478
0,55,55,45,23,2,3,2,3,0,0,7,50,40,23,4,2,4,2,0,0,Men,Hard,42,0.523809552
1,63,20,37,6,4,1,23,11,14,13,6,18,36,10,0,0,8,15,12,6,Men,Hard,11,0.454545468
0,64,18,36,10,0,0,8,15,12,6,4,20,37,6,4,1,23,11,14,13,Men,Hard,11,0.545454562
0,68,34,32,7,2,4,22,41,21,11,3,28,47,21,2,6,33,30,22,18,Men,Hard,19,0.473684222
1,53,28,47,21,2,6,33,30,22,18,6,34,32,7,2,4,22,41,21,11,Men,Hard,19,0.526315808
0,53,50,47,28,21,12,21,12,0,0,6,52,42,37,3,3,3,3,0,0,Men,Hard,17,0.470588237
1,58,52,42,37,3,3,3,3,0,0,3,50,47,28,21,12,21,12,0,0,Men,Hard,17,0.529411793
0,50,39,50,26,10,3,28,38,31,17,5,42,42,23,7,4,37,31,12,12,Men,Hard,19,0.631578922
1,58,42,42,23,7,4,37,31,12,12,7,39,50,26,10,3,28,38,31,17,Men,Hard,19,0.368421048
1,66,46,34,16,9,2,31,27,13,12,6,41,43,13,9,7,30,33,17,14,Men,Hard,14,0.642857134
0,57,41,43,13,9,7,30,33,17,14,2,46,34,16,9,2,31,27,13,12,Men,Hard,14,0.357142866
0,60,58,40,21,13,8,40,36,28,18,6,74,36,27,18,11,62,64,46,31,Men,Hard,19,0.368421048
1,64,74,36,27,18,11,62,64,46,31,1,58,40,21,13,8,40,36,28,18,Men,Hard,19,0.631578922
0,61,32,39,10,2,3,2,3,0,0,4,40,27,15,2,1,2,1,0,0,Men,Hard,19,0.421052635
1,73,40,27,15,2,1,2,1,0,0,6,32,39,10,2,3,2,3,0,0,Men,Hard,19,0.578947365
1,58,36,42,22,6,1,25,23,14,11,6,35,41,18,1,2,31,45,20,12,Men,Hard,14,0.5
0,59,35,41,18,1,2,31,45,20,12,4,36,42,22,6,1,25,23,14,11,Men,Hard,14,0.5
1,69,39,31,17,5,2,11,30,8,5,6,24,51,12,2,8,20,61,22,15,Men,Hard,14,0.714285731
0,49,24,51,12,2,8,20,61,22,15,1,39,31,17,5,2,11,30,8,5,Men,Hard,14,0.285714298
1,58,27,42,11,7,3,19,9,5,3,7,22,48,11,4,7,18,35,10,10,Men,Hard,6,0.833333313
0,52,22,48,11,4,7,18,35,10,10,5,27,42,11,7,3,19,9,5,3,Men,Hard,6,0.166666672
0,57,49,43,32,9,4,9,4,0,0,4,67,35,32,6,6,6,6,0,0,Men,Hard,29,0.448275864
1,65,67,35,32,6,6,6,6,0,0,6,49,43,32,9,4,9,4,0,0,Men,Hard,29,0.551724136
1,55,60,45,31,20,3,20,3,0,0,5,57,35,30,8,0,8,0,0,0,Men,Hard,20,0.5
